WORD,MEANING
crack,bẻ 
house,nhà
plus,cộng
note,ghi chú
beach,bãi biển
computer,máy tính
encourage,khuyến khích
stupid,ngốc nghếch
crazy,điên
smart,thông minh
car,ô tô
train,tàu hỏa
sex,giới tính
school,trường học
road,đường
access,truy cập
benefit,thuận lợi
brazen,ngang ngược
define,định nghĩa
data,số liệu
involve,bao hàm
loyalty,trung thành
major,chuyên ngành
role,vai trò
similar,tương tự như nhau
source,nguồn gốc
structure,cấu trúc
achieve,thành tựu
category,"hạng,loại"
chapter,đề tài
compute,tính toán
survey,khảo sát
text,văn bản
tradition,truyền thuống
conceivable,hình dung được
core,cốt lõi
demonstrate,chứng minh
drawback,"bất lợi, điểm yếu"
dump,"vứt bỏ, thải ra"
ensure,bảo đảm
illustrate,minh họa
initial,ban đầu
layer,tầng lớp
overall,tổng quan
parameter,tham số
phase,giai đoạn
image,hình dung
network,mạng lưới(điện tử)
reject,loại bỏ
color,màu
